audio_path,pronunciation_score,speaking_rate,avg_pause,abnormal_phones
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I love my family and in the future I want to make my family (135).wav,20.788450241088867,3.90625,0.11071428571428575,0
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/nature gives us fruits vegetables and grains to eat (23).wav,22.910602569580078,5.238095238095238,0.09099999999999997,1
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I love my family and in the future I want to make my family Pro.wav,19.26594352722168,4.143646408839779,0.10571428571428568,3
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I love my family and in the future I want to make my family (54).wav,17.58277702331543,6.437768240343347,0.050714285714285726,2
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/nature gives us fruits vegetables and grains (6).wav,17.332826614379883,3.603603603603603,0.09571428571428574,2
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/and then he shouted on the rocks .wav,19.90593910217285,4.40251572327044,0.07166666666666668,0
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I don't have time to go with you I am playing cricket (87).wav,24.69847869873047,5.504587155963303,0.07636363636363636,1
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I love my family and in the future I want to make my family proud (28).wav,22.997581481933594,5.5762081784386615,0.07714285714285711,5
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I love my family and in the future I want to make my family (16).wav,18.71394920349121,4.966887417218543,0.08071428571428572,3
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I do not have time to go with you I am playing cricket (24).wav,21.13823699951172,5.577689243027889,0.0830769230769231,0
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/in the winter when its nose is slowly takes a short walk in the open air each day.wav,18.24949836730957,4.663212435233161,0.08647058823529408,5
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/the boy looked out the window the dog looked out the window .wav,20.836671829223633,6.432748538011696,0.06799999999999998,2
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I don't have time to go with you I am playing cricket (129).wav,22.367769241333008,4.602510460251046,0.09400000000000001,3
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/I don't have time to go with you I am playing cricket (157).wav,23.21933364868164,4.230769230769231,0.10900000000000006,2
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/then they looked over the log.wav,19.68024253845215,2.6455026455026456,0.26,0
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/mum and dad arrived at the bus station early but waited until the bus (2).wav,24.554859161376953,5.168539325842697,0.09227272727272724,0
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/v3/datasets/processed_audio/natural gives us fruit vegetable and grains to eat.wav,18.58670425415039,4.615384615384616,0.056249999999999994,0
